Service Name,Port Number,Transport Protocol
isoipsigport-2,1107,udp
ratio-adp,1108,udp
nfsd-keepalive,1110,udp
lmsocialserver,1111,udp
icp,1112,udp
ltp-deepspace,1113,udp
mini-sql,1114,udp
ardus-trns,1115,udp
ardus-cntl,1116,udp
ardus-mtrns,1117,udp
sacred,1118,udp
bnetgame,1119,udp
bnetfile,1120,udp
rmpp,1121,udp
availant-mgr,1122,udp
murray,1123,udp
hpvmmcontrol,1124,udp
hpvmmagent,1125,udp
hpvmmdata,1126,udp
kwdb-commn,1127,udp
saphostctrl,1128,udp
saphostctrls,1129,udp
casp,1130,udp
caspssl,1131,udp
kvm-via-ip,1132,udp
dfn,1133,udp
aplx,1134,udp
omnivision,1135,udp
hhb-gateway,1136,udp
trim,1137,udp
encrypted-admin,1138,udp
encrypted_admin,1138,udp
evm,1139,udp
autonoc,1140,udp
mxomss,1141,udp
edtools,1142,udp
imyx,1143,udp
fuscript,1144,udp
x9-icue,1145,udp
audit-transfer,1146,udp
capioverlan,1147,udp
elfiq-repl,1148,udp
bvtsonar,1149,udp
blaze,1150,udp
unizensus,1151,udp
winpoplanmess,1152,udp
c1222-acse,1153,udp
resacommunity,1154,udp
nfa,1155,udp
iascontrol-oms,1156,udp
iascontrol,1157,udp
dbcontrol-oms,1158,udp
oracle-oms,1159,udp
olsv,1160,udp
health-polling,1161,udp
health-trap,1162,udp
sddp,1163,udp
qsm-proxy,1164,udp
qsm-gui,1165,udp
qsm-remote,1166,udp
cisco-ipsla,1167,udp
vchat,1168,udp
tripwire,1169,udp
atc-lm,1170,udp
atc-appserver,1171,udp
dnap,1172,udp
d-cinema-rrp,1173,udp
fnet-remote-ui,1174,udp
dossier,1175,udp
indigo-server,1176,udp
dkmessenger,1177,udp
sgi-storman,1178,udp
b2n,1179,udp
mc-client,1180,udp
3comnetman,1181,udp
accelenet-data,1182,udp
llsurfup-http,1183,udp
llsurfup-https,1184,udp
catchpole,1185,udp
mysql-cluster,1186,udp
alias,1187,udp
hp-webadmin,1188,udp
unet,1189,udp
commlinx-avl,1190,udp
gpfs,1191,udp
caids-sensor,1192,udp
fiveacross,1193,udp
openvpn,1194,udp
rsf-1,1195,udp
netmagic,1196,udp
carrius-rshell,1197,udp
cajo-discovery,1198,udp
dmidi,1199,udp
scol,1200,udp
nucleus-sand,1201,udp
caiccipc,1202,udp
ssslic-mgr,1203,udp
ssslog-mgr,1204,udp
accord-mgc,1205,udp
anthony-data,1206,udp
metasage,1207,udp
seagull-ais,1208,udp
ipcd3,1209,udp
eoss,1210,udp
groove-dpp,1211,udp
lupa,1212,udp
mpc-lifenet,1213,udp
kazaa,1214,udp
scanstat-1,1215,udp
etebac5,1216,udp
hpss-ndapi,1217,udp
aeroflight-ads,1218,udp
aeroflight-ret,1219,udp
qt-serveradmin,1220,udp
sweetware-apps,1221,udp
nerv,1222,udp
tgp,1223,udp
vpnz,1224,udp
slinkysearch,1225,udp
stgxfws,1226,udp
dns2go,1227,udp
florence,1228,udp
zented,1229,udp
periscope,1230,udp
menandmice-lpm,1231,udp
first-defense,1232,udp
univ-appserver,1233,udp
search-agent,1234,udp
mosaicsyssvc1,1235,udp
bvcontrol,1236,udp
tsdos390,1237,udp
hacl-qs,1238,udp
nmsd,1239,udp
instantia,1240,udp
nessus,1241,udp
nmasoverip,1242,udp
serialgateway,1243,udp
isbconference1,1244,udp
isbconference2,1245,udp
payrouter,1246,udp
visionpyramid,1247,udp
hermes,1248,udp
mesavistaco,1249,udp
